date, pm25, pm10, o3, no2, so2, co
2021/9/1, 54, 48, 8, 11, 15, 6
2021/9/2, 91, 45, 9, 20, 13, 4
2021/9/3, 73, 54, 20, 14, 14, 6
2021/9/4, 88, 59, 11, 11, 12, 5
2021/9/5, 99, 90, 24, 25, 15, 8
2021/9/6, 128, 69, 13, 12, 12, 4
2021/9/7, 115, 54, 11, 13, 13, 4
2021/9/8, 72, 61, 13, 13, 12, 4
2021/9/9, 84, 57, 10, 13, 13, 4
2021/9/10, 93, 29, 11, 12, 15, 4
2021/9/11, 65, 36, 30, 9, 13, 4
2021/9/12, 80, 47, 17, 7, 13, 5
2021/9/13, 98, 51, 11, 15, 13, 4
2021/9/14, 81, 57, 12, 16, 13, 4
2021/9/15, 68, 54, 10, 15, 14, 5
2021/9/16, 79, 41, 14, 10, 14, 3
2021/9/17, 68, 60, 14, 12, 14, 5
2021/9/18, 95, 68, 24, 14, 14, 4
2021/9/19, 94, 72, 11, 16, 13, 4
2021/9/20, 91, 65, 10, 16, 14, 5
2021/9/21, 89, 51, 10, 16, 15, 4
2021/9/22, 81, 47, 9, 11, 13, 3
2021/9/23, 70, 54, 11, 13, 14, 5
2021/9/24, 84, 53, 11, 11, 14, 3
2021/9/25, 97, 60, 21, 15, 14, 4
2021/9/26, 112, 81, 15, 14, 13, 6
2021/9/27, 142, 81, 23, 14, 11, 7
2021/9/28, 118, 71, 12, 14, 10, 6
2021/9/29, 85, 88, 19, 16, 10, 6
2021/9/30, 99, 134, 16, 18, 10, 8
2021/4/1, 137, 184, 26, 14, 22, 5
2021/4/2, 151, 177, 41, 16, 19, 6
2021/4/3, 167, 186, 39, 16, 22, 6
2021/4/4, 183, 199, 58, 25, 15, 10
2021/4/5, 168, 270, 83, 23, 13, 12
2021/4/6, 205, 188, 40, 11, 12, 5
2021/4/7, 150, 176, 35, 14, 14, 5
2021/4/8, 183, 193, 34, 16, 19, 6
2021/4/9, 172, 223, 40, 18, 21, 7
2021/4/10, 181, 236, 39, 17, 24, 7
2021/4/11, 202, 265, 42, 20, 24, 7
2021/4/12, 214, 317, 36, 19, 21, 7
2021/4/13, 195, 220, 32, 17, 20, 6
2021/4/14, 176, 268, 25, 18, 26, 7
2021/4/15, 184, 309, 4, 18, 17, 6
2021/4/16, 157, 95, 10, 10, 8, 5
2021/4/17, 122, 148, 28, 12, 11, 6
2021/4/18, 169, 271, 23, 16, 15, 6
2021/4/19, 160, 167, 36, 12, 14, 6
2021/4/20, 142, 95, 21, 7, 9, 5
2021/4/21, 135, 106, 41, 9, 8, 5
2021/4/22, 139, 79, 22, 8, 7, 5
2021/4/23, 99, 136, 33, 8, 12, 5
2021/4/24, 164, 171, 37, 11, 14, 7
2021/4/25, 176, 277, 49, 17, 19, 13
2021/4/26, 270, 277, 49, 17, 20, 11
2021/4/27, 273, 211, 37, 19, 24, 13
2021/4/28, 293, 323, 40, 16, 18, 10
2021/4/29, 274, 375, 56, 15, 13, 9
2021/4/30, 247, 156, 93, 11, 9, 6
2021/5/1, 160, 189, 42, 12, 9, 6
2021/5/2, 159, 279, 25, 9, 17, 6
2021/5/3, 179, 142, 26, 10, 13, 6
2021/5/4, 149, 120, 48, 8, 9, 6
2021/5/5, 152, 89, 24, 7, 7, 6
2021/5/6, 127, 92, 19, 8, 5, 7
2021/5/7, 157, 113, 36, 10, 7, 7
2021/5/8, 158, 87, 42, 7, 7, 5
2021/5/9, 127, 90, 46, 10, 5, 8
2021/5/10, 132, 92, 36, 7, 6, 6
2021/5/11, 120, 126, 31, 8, 6, 5
2021/5/12, 111, 66, 19, 7, 6, 7
2021/5/13, 89, 80, 30, 8, 4, 7
2021/5/14, 116, 147, 28, 9, 5, 5
2021/5/15, 107, 115, 53, 11, 6, 8
2021/5/16, 146, 182, 41, 15, 8, 8
2021/5/17, 198, 60, 10, 8, 4, 4
2021/5/18, 73, 40, 8, 6, 5, 5
